,country.value,date,value,country,year,consumption
378,Ireland,1993,2.392810711,Ireland,1993,2.392810711
379,Ireland,1992,2.187172018,Ireland,1992,2.187172018
380,Ireland,1991,1.221250337,Ireland,1991,1.221250337
381,Ireland,1990,1.327972261,Ireland,1990,1.327972261
382,Ireland,1989,6.941469656,Ireland,1989,6.941469656
383,Ireland,1988,4.93315908,Ireland,1988,4.93315908
384,Ireland,1987,3.313993122,Ireland,1987,3.313993122
385,Ireland,1986,1.966377099,Ireland,1986,1.966377099
386,Ireland,1985,4.423925709,Ireland,1985,4.423925709
387,Ireland,1984,1.379295704,Ireland,1984,1.379295704
388,Ireland,1983,0.139424943,Ireland,1983,0.139424943
389,Ireland,1982,-7.932342343,Ireland,1982,-7.932342343
400,"Hong Kong SAR, China",2021,6.317093553,"Hong Kong SAR, China",2021,6.317093553
401,"Hong Kong SAR, China",2020,-10.16018089,"Hong Kong SAR, China",2020,-10.16018089
402,"Hong Kong SAR, China",2019,-1.528130333,"Hong Kong SAR, China",2019,-1.528130333
403,"Hong Kong SAR, China",2018,4.45147397,"Hong Kong SAR, China",2018,4.45147397
404,"Hong Kong SAR, China",2017,4.6900367,"Hong Kong SAR, China",2017,4.6900367
405,"Hong Kong SAR, China",2016,1.37489395,"Hong Kong SAR, China",2016,1.37489395
406,"Hong Kong SAR, China",2015,3.873529675,"Hong Kong SAR, China",2015,3.873529675
407,"Hong Kong SAR, China",2014,2.616488618,"Hong Kong SAR, China",2014,2.616488618
408,"Hong Kong SAR, China",2013,4.200262328,"Hong Kong SAR, China",2013,4.200262328
409,"Hong Kong SAR, China",2012,2.959765505,"Hong Kong SAR, China",2012,2.959765505
410,"Hong Kong SAR, China",2011,7.666145149,"Hong Kong SAR, China",2011,7.666145149
411,"Hong Kong SAR, China",2010,5.33754153,"Hong Kong SAR, China",2010,5.33754153
412,"Hong Kong SAR, China",2009,-0.036237906,"Hong Kong SAR, China",2009,-0.036237906
413,"Hong Kong SAR, China",2008,1.291687889,"Hong Kong SAR, China",2008,1.291687889
414,"Hong Kong SAR, China",2007,7.718183394,"Hong Kong SAR, China",2007,7.718183394
415,"Hong Kong SAR, China",2006,5.416380443,"Hong Kong SAR, China",2006,5.416380443
416,"Hong Kong SAR, China",2005,3.092342289,"Hong Kong SAR, China",2005,3.092342289
417,"Hong Kong SAR, China",2004,6.294955891,"Hong Kong SAR, China",2004,6.294955891
418,"Hong Kong SAR, China",2003,-1.362742301,"Hong Kong SAR, China",2003,-1.362742301
419,"Hong Kong SAR, China",2002,-1.483623494,"Hong Kong SAR, China",2002,-1.483623494
420,"Hong Kong SAR, China",2001,0.655888773,"Hong Kong SAR, China",2001,0.655888773
421,"Hong Kong SAR, China",2000,3.598396229,"Hong Kong SAR, China",2000,3.598396229
422,"Hong Kong SAR, China",1999,0.084972383,"Hong Kong SAR, China",1999,0.084972383
423,"Hong Kong SAR, China",1998,-6.282106995,"Hong Kong SAR, China",1998,-6.282106995
424,"Hong Kong SAR, China",1997,4.66470716,"Hong Kong SAR, China",1997,4.66470716
425,"Hong Kong SAR, China",1996,-0.778435076,"Hong Kong SAR, China",1996,-0.778435076
426,"Hong Kong SAR, China",1995,-0.363550812,"Hong Kong SAR, China",1995,-0.363550812
427,"Hong Kong SAR, China",1994,4.127178322,"Hong Kong SAR, China",1994,4.127178322
428,"Hong Kong SAR, China",1993,6.009838771,"Hong Kong SAR, China",1993,6.009838771
429,"Hong Kong SAR, China",1992,7.674020414,"Hong Kong SAR, China",1992,7.674020414
430,"Hong Kong SAR, China",1991,8.356369552,"Hong Kong SAR, China",1991,8.356369552
431,"Hong Kong SAR, China",1990,5.921007121,"Hong Kong SAR, China",1990,5.921007121
432,"Hong Kong SAR, China",1989,2.757204145,"Hong Kong SAR, China",1989,2.757204145
433,"Hong Kong SAR, China",1988,8.455009393,"Hong Kong SAR, China",1988,8.455009393
434,"Hong Kong SAR, China",1987,9.539473311,"Hong Kong SAR, China",1987,9.539473311
435,"Hong Kong SAR, China",1986,7.232291409,"Hong Kong SAR, China",1986,7.232291409
436,"Hong Kong SAR, China",1985,3.235724641,"Hong Kong SAR, China",1985,3.235724641
437,"Hong Kong SAR, China",1984,4.817576327,"Hong Kong SAR, China",1984,4.817576327
438,"Hong Kong SAR, China",1983,6.099291903,"Hong Kong SAR, China",1983,6.099291903
439,"Hong Kong SAR, China",1982,3.611793143,"Hong Kong SAR, China",1982,3.611793143
